Name,lat,lon,height
BASEL,+47:31:59,+07:34:59,316
BUDAPEST,+47:30:39,+19:01:14,153
DE_BILT,+52:06:06,+05:10:40,2
DRESDEN,+51:07:00,+13:40:59,246
DUSSELDORF,+51:13:39,+06:46:24,37
HEATHROW,+51:28:44,-00:26:57,25
KASSEL,+51:17:52,+09:26:37,231
LJUBLJANA,+46:03:56,+14:30:44,299
MAASTRICHT,+50:54:19,+05:45:42,114
MALMO,+55:36:35,+13:04:48,20
MONTELIMAR,+44:34:51,+04:43:59,73
MUENCHEN,+48:09:51,+11:32:35,515
OSLO,+59:56:32,+10:43:12,94
PERPIGNAN,+42:44:13,+02:52:14,42
ROMA,+41:46:59,+12:34:59,105
SONNBLICK,+47:02:59,+12:56:59,3106
STOCKHOLM,+59:21:00,+18:03:00,44
TOURS,+47:26:38,+00:43:40,108
